word,location,where,definition
acky,Worcester,"Worcester, UK","poo, excrement"
acky 1-2-3,Worcester,"Worcester, Uk",children's chase game
agate,Blackburn,"Blackburn, UK",to tell
all my eye and Betty Martin,London,"London, UK",are you kidding?
antwack,Liverpool,"Liverpool, UK",old-fashioned
anywhen,Portsmouth,"Portsmouth, UK","at any time, whenever"
apples and pears,London,"London, UK",stairs
awkward as Dick's hat band,North East England,"North East England, UK",awkward
aye,Newcastle upon Tyne,"Newcastle upon Tyne, UK",yes
babby's yead,Wigan,"Wigan, UK",steak-and-kidney pudding
baffie,"Fife, Scotland","Fife, Scotland, UK",slipper
baffie,"Fife, Scotland","Fife, Scotland, UK",slipper
bagging,Lancashire,"Lancashire, UK",snack
bahookie,Aryshire,"Aryshire, UK",bottom
banging,London,"London, UK","great, excellent (esp. of music)"
bare,London,"London, UK","lots of, very"
barmpot,Glasgow,"Glasgow, UK",fool (used affectionately)
bartled,Nottingham,"Nottingham, UK","dirty, filthy"
beethy,Shropshire,"Shropshire, UK","soft, pappy (of e.g. apple)"
ben,Scotland,"Scotland, UK","through, into"
betwattled,Warrington,"Warrington, UK",gobsmacked
bishy-barnabee,Norfolk,"Norfolk, UK",ladybird
black over Bill's mothers,Nottingham,"Nottingham, UK","(of weather) dark, grey, about to rain"
blart,Wolverhampton,"Wolverhampton, UK",to cry
bletch,Cheshire,"Cheshire, UK",bicycle oil
blether,Scotland,"Scotland, UK",to talk a lot
blue-domer,Devon,"Devon, UK",person who worships God in the open air as opposed to in church
bobbins,Lincolnshire,"Lincolnshire, UK",rubbish
bobbins,Manchester,"Manchester, UK",rubbish
bobby-dazzler,Lancashire,"Lancashire, UK",somebody especially good at something
bobowler,Birmingham,"Birmingham, UK",large moth
boke,Stirling,"Stirling, UK",to feel sick
bor,Norfolk,"Norfolk, UK",boy
boss,Liverpool,"Liverpool, UK","good, great"
boss-eyed,Barnet,"Barnet, UK",cross-eyed
bosting,Birmingham,"Birmingham, UK","great, excellent"
brash,South Wales,"South Wales, UK",to cut branches off tree after felling
bridger,Isle of Dogs,"Isle of Dogs, UK",excuse for lateness due to traffic
brossen,Swaledale,"Swaledale, UK","full, eaten too much"
"bubble, have a",London,"London, UK","to have a laugh, joke"
buff ting,South of England,"South of England, UK",attractive
bugger,North East England,"North East England, UK","what a pity, oh dear"
bumbleklutz,London,"London, UK",fool (used affectionately)
bùrach,Scotland,"Scotland, UK",mess
butters,South London,"South London, UK","ugly, unattractive"
call,Huddersfield,"Huddersfield, UK",to talk
canny,Darlington,"Darlington, UK","great, very"
canny,Middlesborough,"Middlesborough, UK","endearing, kind "
canny,County Durham,"County Durham, UK","superfluous word used to emphasise adjectives [e.g. canny massive, canny small]. Can also mean nice."
carnaptious,Northern Ireland,"Northern Ireland, UK","awkward, difficult, moody"
carrying out,Lancashire,"Lancashire, UK",packed lunch
cassened,Lancashire,"Lancashire, UK",tired
champion,Newcastle upon Tyne,"Newcastle upon Tyne, UK","fine, great"
Charnock,Lancashire,"Lancashire, UK",mad (reference to local psychiatric hospital)
chauve,Aberdeen,"Aberdeen, UK","to manage, carry on"
chimbles,Suffolk,"Suffolk, UK","small, hard broken pieces (of e.g. burnt toast)"
chobble,Wolverhampton,"Wolverhampton, UK","to suck, chew, munch (on e.g. boiled sweet)"
class,Darlington,"Darlington, UK",great
clemmed,Wigan,"Wigan, UK",hungry
clit,Isle of Wight,"Isle of Wight, UK",knot in hair
cob,Midlands,"Midlands, UK",bread roll
cob on,Doncaster,"Doncaster, UK","unhappy, in  bad mood"
coco (I should coco),London,"London, UK",I don't believe you
colly nob,Derby,"Derby, UK",Brussels sprout
Cooper's ducks,Black Country,"Black Country, UK",the end is nigh
cotted,Lincolnshire,"Lincolnshire, UK",tangled
croggie,Lincolnshire,"Lincolnshire, UK",shared ride on handlebars of bicycle
cushty,Portsmouth,"Portsmouth, UK","good, cool"
cwtch,South Wales,"South Wales, UK",cuddle
daft ha'porth,Lancashire,"Lancashire, UK",fool (used affectionately)
daps,Somerset,"Somerset, UK",plimsolls
dap,Wiltshire,"Wiltshire, UK",plimsoll
dead,Stoke-on-Trent,"Stoke-on-Trent, UK",very
deaf,Birmingham,"Birmingham, UK",to pack something/someone in
deck,Liverpool,"Liverpool, UK",to punch
deck,North Yorkshire,"North Yorkshire, UK","to hit, attack"
Derby (Road),Nottingham,"Nottingham, UK",cold
devil's darning needle,Cambridge,"Cambridge, UK",dragonfly
dimpsy,Devon,"Devon, UK","dusk, twilight"
dimpsy,Somerset,"Somerset, UK",twilight
dockey,Fens,"Fens, UK","snack, packed lunch"
dodman,Norfolk,"Norfolk, UK",snail
dog and bone,London,"London, UK",telephone
dornack,Northern Ireland,"Northern Ireland, UK",fool/simpleton
dreckly,Cornwall,"Cornwall, UK","later, some time, manana"
dreich,Scottish,"Scottish, UK","grey, dull, rainy"
dry as a lime-burner's clog,Stoke-on-Trent,"Stoke-on-Trent, UK",extremely thirsty
dunch,Newcastle upon Tyne,"Newcastle upon Tyne, UK","to bump, hit, knock"
dwile,Norfolk,"Norfolk, UK",cleaning cloth
dwingey,Norfolk,"Norfolk, UK",shrivelled
emmet,Cornwall,"Cornwall, UK",ant/tourist
ey up me duck,Leicestershire,"Leicestershire, UK",common greeting/form of adress
face like a mile of bad road,Durham,"Durham, UK",miserable
face like a torn scone,Scotland,"Scotland, UK",angry-looking
faddle,Coventry,"Coventry, UK",to mess about
